"q1";"q2";"s2";"k";"Q";"c3";"c2";"c1";"s1";"c4";"time";"r_aSaJ_2";"vs_1_0_1";"vs_2_1_1";"f_2_1_0";"f_2_0_1";"r_mSaJ_1";"vj_1_0_0";"p11";"vs_1_1_1";"vj_2_0_1";"r_mSmJ_2";"f_1_1_1";"f_2_1_1";"vj_1_1_1";"mt";"f_1_0_1";"r_aSmJ_2";"vs_2_0_1";"vj_2_1_1";"vs_2_1_0";"vs_1_0_0";"r_aSaJ_1";"f_2_0_0";"p10";"vs_2_0_0";"vj_1_0_1";"f_1_1_0";"vj_2_0_0";"p20";"vj_2_1_0";"r_mSmJ_1";"vj_1_1_0";"r_aSmJ_1";"p21";"f_1_0_0";"vs_1_1_0";"r_mSaJ_2";"file";"x2";"y2";"x2.2";"y2.2"
0;0;6.04912;0.95;0.05;0.5;0.5;0.5;0.45531;0.5;98982;0.954016;0.81588;0.994816;0.00308841;0.00201126;0.95386;0.993305;0.9999;1.00748;1.07659;0.953866;0.878671;0.000107403;1.00748;0.325989;0.0323304;0.953858;1.07656;0.994886;0.922622;0.993225;0.953866;0.0647929;0.999995;1.00382;0.815936;0.0182489;1.00382;0.999942;0.922665;0.95401;1.18589;0.953862;0.999004;0.000749858;1.18584;0.953862;"hpcbatch_31_03_2015_131627/core_193/iter_fecmort_31_3_2015_134522_995875334";0.07;0.22;0.0699999846258627;0.219999694399634
0;0;6.04912;0.5;0.05;0.5;0.5;0.5;0.45531;0.5;10357;0.521773;0.784837;0.926607;0.00309106;0.00201316;0.520816;0.902873;0.9999;1.0918;1.09298;0.520858;0.878625;0.000107486;1.0918;0.479143;0.0323586;0.520808;1.09296;0.926714;0.882305;0.90276;0.520858;0.0647883;0.9999;1.04332;0.784943;0.0182664;1.04332;0.9999;0.882398;0.521735;1.21952;0.520831;0.999032;0.000750493;1.21949;0.520831;"hpcbatch_31_03_2015_131627/core_193/iter_fecmort_31_3_2015_134313_696168504";0.07;0.22;0.0699999846258627;0.219999694399634
0;0;6.04912;0.1;0.05;0.5;0.5;0.5;0.45531;0.5;6713;0.107378;0.696604;0.793936;0.00309115;0.00201325;0.106852;0.725381;0.9999;1.18461;1.07948;0.106878;0.878626;0.000107296;1.18461;0.822774;0.0323589;0.106851;1.07948;0.794074;0.785081;0.725259;0.106878;0.0647883;0.9999;1.06672;0.696751;0.0182663;1.06672;0.999989;0.785223;0.10736;1.22021;0.106863;0.999067;0.000749098;1.22021;0.106863;"hpcbatch_31_03_2015_131627/core_193/iter_fecmort_31_3_2015_134117_933648669";0.07;0.22;0.0699999846258627;0.219999694399634
0;0;0.298142;0.5;0.05;0.5;0.5;0.5;0.160538;0.5;53524;0.81081;0.696617;1.0684;0.036287;0.0534504;0.488428;0.91553;0.9999;1.10503;0.716399;0.581174;0.556499;0.0349067;1.09886;0.431218;0.0485855;0.454032;0.718912;1.00361;1.20729;0.80555;0.579608;0.225356;0.931768;0.819804;0.785183;0.0338619;0.826134;0.9999;1.15685;0.792277;1.26972;0.477552;9.38319e-05;0.0110535;1.24583;0.475653;"hpcbatch_31_03_2015_131627/core_871/iter_fecmort_31_3_2015_140614_842889372";0.35;-0.66;0.35;-0.659999495667511
0;0;0.298142;0.95;0.05;0.5;0.5;0.5;0.160538;0.5;450681;0.971759;0.769893;1.02597;0.0528601;0.0757084;0.950937;1.02783;0.999907;1.02135;0.790656;0.9589;0.480586;0.0697041;0.999779;0.310118;0.0862664;0.947221;0.792957;0.973365;1.19599;0.952839;0.958794;0.151727;0.698073;0.967974;0.81139;0.0581326;0.990716;0.99992;1.18714;0.969916;1.23095;0.949578;0.105382;0.0250155;1.19698;0.950206;"hpcbatch_31_03_2015_131627/core_871/iter_fecmort_31_3_2015_141116_517340823";0.35;-0.66;0.35;-0.659999495667511
0;0;0.298142;0.1;0.05;0.5;0.5;0.5;0.160538;0.5;407261;0.284912;0.716336;1.0897;0.0211446;0.0339156;0.129552;0.760617;0.9999;1.18173;0.708004;0.137421;0.608723;0.00340608;1.18173;0.777854;0.0241266;0.126493;0.7081;1.08704;1.12678;0.750725;0.137411;0.291534;0.9999;0.732934;0.726105;0.0162503;0.732934;0.9999;1.12306;0.253082;1.22768;0.128452;0.822023;0.0009005;1.22713;0.128434;"hpcbatch_31_03_2015_131627/core_871/iter_fecmort_31_3_2015_135249_850132019";0.35;-0.66;0.35;-0.659999495667511
0;0;3.03668;0.5;0.05;0.5;0.5;0.5;0.300331;0.5;10267;0.527445;0.789672;0.946896;0.00435959;0.00343563;0.526398;0.908584;0.9999;1.09238;1.0151;0.52644;0.859165;0.000205251;1.09238;0.473561;0.0316163;0.526384;1.01509;0.946984;0.944021;0.908476;0.52644;0.0819995;0.9999;1.00687;0.789771;0.0184528;1.00687;0.9999;0.944093;0.527334;1.22106;0.526411;0.999052;0.000765514;1.22104;0.526412;"hpcbatch_31_03_2015_131627/core_237/iter_fecmort_31_3_2015_132333_283941578";0.09;-0.02;0.0900000029966938;-0.0200004043551409
0;0;3.03668;0.1;0.05;0.5;0.5;0.5;0.300331;0.5;6463;0.10939;0.704972;0.852883;0.00435976;0.00343589;0.108803;0.734384;0.9999;1.18982;0.998818;0.10883;0.859166;0.000204854;1.18982;0.819797;0.0316168;0.108799;0.998817;0.853018;0.854481;0.734269;0.108829;0.0819995;0.9999;0.996491;0.70511;0.0184528;0.996491;0.999985;0.854606;0.10933;1.22632;0.108813;0.999082;0.000764061;1.22632;0.108814;"hpcbatch_31_03_2015_131627/core_237/iter_fecmort_31_3_2015_132213_13913348";0.09;-0.02;0.0900000029966938;-0.0200004043551409
0;0;3.03668;0.95;0.05;0.5;0.5;0.5;0.300331;0.5;100303;0.955035;0.816984;0.995877;0.00435304;0.00343066;0.954876;0.99359;0.9999;1.00719;1.01031;0.954882;0.859243;0.000204845;1.00719;0.320885;0.0315674;0.954873;1.01028;0.995929;0.986486;0.99351;0.954882;0.0820115;0.9999;1.00033;0.81704;0.0184259;1.00033;0.999977;0.986516;0.95502;1.18477;0.954877;0.999004;0.000763883;1.18472;0.954877;"hpcbatch_31_03_2015_131627/core_237/iter_fecmort_31_3_2015_132500_814187179";0.09;-0.02;0.0900000029966938;-0.0200004043551409
0;0;0.519619;0.5;0.05;0.5;0.5;0.5;2.53697;0.5;10419;0.54999;0.988272;1.08443;0.01962;0.0297272;0.549955;0.998325;0.000944038;0.972784;0.819479;0.550958;0.000460751;0.779808;0.97285;0.450012;0.00747842;0.549954;0.819398;1.08443;1.20473;0.998325;0.551047;0.000844766;1.89288e-05;0.931197;0.988281;0.00849212;0.931287;1e-04;1.20475;0.54999;0.988188;0.54993;1e-04;0.153569;0.988136;0.549944;"hpcbatch_31_03_2015_131627/core_2089/iter_fecmort_31_3_2015_132444_947860855";0.83;0.06;0.830000369693145;0.0600001772210831
0;0;0.519619;0.95;0.05;0.5;0.5;0.5;2.53697;0.5;107366;0.958356;0.982056;1.00664;0.0196067;0.0297098;0.958351;0.999793;0.000997233;0.998089;0.835587;0.958501;0.000460632;0.779839;0.998127;0.302912;0.00747346;0.958351;0.83554;1.00664;1.16744;0.999793;0.958512;0.000844475;3.26913e-05;0.99551;0.982074;0.00848729;0.99558;1e-04;1.16748;0.958356;1.01639;0.958347;3.6497e-05;0.153579;1.01637;0.958349;"hpcbatch_31_03_2015_131627/core_2089/iter_fecmort_31_3_2015_132646_316939650";0.83;0.06;0.830000369693145;0.0600001772210831
